Category: All categories,
,
Month,criminal minds: (United States)
2004-01,<1
2004-02,<1
2004-03,0
2004-04,0
2004-05,<1
2004-06,<1
2004-07,0
2004-08,<1
2004-09,<1
2004-10,<1
2004-11,<1
2004-12,0
2005-01,0
2005-02,0
2005-03,<1
2005-04,<1
2005-05,<1
2005-06,<1
2005-07,<1
2005-08,1
2005-09,4
2005-10,4
2005-11,4
2005-12,5
2006-01,6
2006-02,4
2006-03,4
2006-04,5
2006-05,9
2006-06,3
2006-07,2
2006-08,4
2006-09,6
2006-10,9
2006-11,9
2006-12,8
2007-01,6
2007-02,16
2007-03,7
2007-04,6
2007-05,8
2007-06,3
2007-07,4
2007-08,5
2007-09,11
2007-10,15
2007-11,20
2007-12,9
2008-01,7
2008-02,5
2008-03,6
2008-04,8
2008-05,18
2008-06,7
2008-07,6
2008-08,6
2008-09,20
2008-10,16
2008-11,14
2008-12,11
2009-01,13
2009-02,13
2009-03,12
2009-04,14
2009-05,24
2009-06,10
2009-07,8
2009-08,11
2009-09,30
2009-10,36
2009-11,39
2009-12,43
2010-01,46
2010-02,36
2010-03,30
2010-04,33
2010-05,37
2010-06,31
2010-07,28
2010-08,28
2010-09,47
2010-10,39
2010-11,32
2010-12,39
2011-01,62
2011-02,68
2011-03,83
2011-04,61
2011-05,61
2011-06,48
2011-07,38
2011-08,38
2011-09,63
2011-10,54
2011-11,53
2011-12,56
2012-01,52
2012-02,41
2012-03,38
2012-04,38
2012-05,57
2012-06,34
2012-07,40
2012-08,33
2012-09,48
2012-10,45
2012-11,44
2012-12,38
2013-01,52
2013-02,42
2013-03,41
2013-04,42
2013-05,55
2013-06,35
2013-07,32
2013-08,30
2013-09,40
2013-10,44
2013-11,39
2013-12,35
2014-01,40
2014-02,39
2014-03,34
2014-04,33
2014-05,58
2014-06,30
2014-07,39
2014-08,49
2014-09,70
2014-10,66
2014-11,53
2014-12,51
2015-01,74
2015-02,58
2015-03,48
2015-04,52
2015-05,47
2015-06,42
2015-07,41
2015-08,39
2015-09,53
2015-10,50
2015-11,40
2015-12,45
2016-01,55
2016-02,50
2016-03,100
2016-04,54
2016-05,46
2016-06,39
2016-07,54
2016-08,60
2016-09,53
2016-10,50
2016-11,47
2016-12,44
2017-01,49
2017-02,44
2017-03,48
2017-04,39
2017-05,49
2017-06,35
2017-07,56
2017-08,40
2017-09,50
2017-10,48
2017-11,43
2017-12,42
2018-01,55
2018-02,45
2018-03,51
2018-04,47
2018-05,35
2018-06,36
2018-07,38
2018-08,36
2018-09,38
2018-10,42
2018-11,38
2018-12,36
2019-01,51
2019-02,50
2019-03,41
2019-04,34
2019-05,32
2019-06,33
2019-07,41
2019-08,38
2019-09,38
2019-10,37
2019-11,36
2019-12,37
2020-01,65
2020-02,75
2020-03,53
2020-04,71
2020-05,73
2020-06,73
2020-07,87
2020-08,75
2020-09,65
2020-10,62
2020-11,60
2020-12,66
2021-01,85
2021-02,77
2021-03,57
2021-04,58
2021-05,54
2021-06,54
2021-07,50
2021-08,46
2021-09,39
2021-10,33
2021-11,33
2021-12,37
2022-01,46
2022-02,46
2022-03,37